ID,Start Date,Start Time,offensegroup,OFFENSE
24823,08/21/2022,21:45:00,property,theft/other
24824,09/07/2022,23:37:00,property,theft f/auto
24825,09/08/2022,01:42:00,property,theft/other
24826,09/07/2022,06:00:00,property,theft/other
24827,09/30/2022,00:47:00,violent,assault w/dangerous weapon
24828,08/06/2022,09:55:00,violent,robbery
24829,09/07/2022,08:30:00,property,theft f/auto
24830,09/23/2022,08:24:00,property,theft f/auto
24831,09/29/2022,20:00:00,property,theft f/auto
24832,09/27/2022,09:00:00,property,theft/other
24833,09/30/2022,02:00:00,property,theft/other
24834,09/30/2022,07:08:00,property,burglary
24835,09/28/2022,10:00:00,property,theft f/auto
24836,09/17/2022,08:53:00,property,theft f/auto
24837,09/27/2022,18:40:00,property,theft/other
24838,08/11/2022,06:50:00,property,theft/other
24839,07/30/2022,11:30:00,property,theft/other
24840,08/10/2022,15:00:00,property,theft/other
24841,08/27/2022,02:25:00,property,theft/other
24842,08/26/2022,23:30:00,property,theft f/auto
24843,08/13/2022,14:00:00,property,theft/other
24844,08/26/2022,10:03:00,property,theft/other
24845,08/31/2022,12:30:00,property,theft f/auto
24846,09/01/2022,20:13:00,property,motor vehicle theft
24847,09/11/2022,09:30:00,property,theft f/auto
24848,09/18/2022,22:46:00,violent,robbery
24849,08/11/2022,04:37:00,violent,robbery
24850,08/09/2022,16:00:00,violent,assault w/dangerous weapon
24851,09/18/2022,00:05:00,property,theft f/auto
24852,09/15/2022,20:35:00,property,motor vehicle theft
24853,09/18/2022,19:35:00,property,theft/other
24854,07/26/2022,20:42:00,property,theft/other
24855,07/26/2022,21:05:00,property,theft/other
24856,07/26/2022,21:44:00,property,burglary
24857,07/26/2022,22:00:00,property,motor vehicle theft
24858,07/29/2022,16:30:00,property,motor vehicle theft
24859,07/30/2022,23:30:00,property,theft f/auto
24860,08/11/2022,14:18:00,property,theft/other
24861,08/15/2022,21:00:00,property,theft f/auto
24862,08/15/2022,23:00:00,property,theft f/auto
24863,08/16/2022,10:10:00,property,theft/other
24864,08/21/2022,10:21:00,property,theft f/auto
24865,09/02/2022,03:47:00,property,theft/other
24866,09/02/2022,08:11:00,property,theft f/auto
24867,09/07/2022,13:58:00,property,theft/other
24868,09/19/2022,03:15:00,property,theft/other
24869,09/21/2022,13:30:00,property,theft/other
24870,09/22/2022,16:15:00,property,theft/other
24871,09/22/2022,17:10:00,property,theft/other
24872,07/31/2022,20:13:00,violent,robbery
24873,07/31/2022,21:17:00,violent,robbery
24874,08/05/2022,20:22:00,violent,robbery
24875,08/06/2022,00:55:00,violent,robbery
24876,08/21/2022,10:36:00,violent,assault w/dangerous weapon
24877,09/12/2022,20:54:00,violent,robbery
24878,09/29/2022,22:42:00,violent,assault w/dangerous weapon
24879,09/21/2022,13:30:00,property,theft f/auto
24880,09/22/2022,18:30:00,property,motor vehicle theft
24881,07/30/2022,17:23:00,property,theft/other
24882,07/29/2022,23:00:00,property,motor vehicle theft
24883,07/28/2022,19:00:00,property,theft f/auto
24884,08/05/2022,20:08:00,property,motor vehicle theft
24885,08/05/2022,22:13:00,property,theft f/auto
24886,08/05/2022,23:36:00,property,motor vehicle theft
24887,08/06/2022,02:10:00,property,motor vehicle theft
24888,08/06/2022,01:55:00,property,motor vehicle theft
24889,08/20/2022,21:30:00,property,theft f/auto
24890,08/21/2022,12:51:00,property,theft/other
24891,08/13/2022,11:00:00,property,theft f/auto
24892,08/20/2022,13:00:00,property,theft/other
24893,08/21/2022,00:05:00,property,theft f/auto
24894,08/21/2022,16:15:00,property,theft/other
24895,08/20/2022,20:30:00,property,theft/other
24896,08/26/2022,13:00:00,property,theft f/auto
24897,09/06/2022,08:00:00,property,theft/other
24898,08/14/2022,18:00:00,property,motor vehicle theft
24899,09/11/2022,14:00:00,property,theft/other
24900,09/12/2022,19:00:00,property,motor vehicle theft
24901,09/12/2022,20:30:00,property,motor vehicle theft
24902,09/29/2022,21:15:00,property,theft/other
